lago,fecha,par,metodo,muestra,n,coeficiente,p_valor
atitlan,2026-04-13,CYA~NDVI,pearson_log10,completa,305128,0.248439325812707,0.0
atitlan,2026-04-13,CYA~NDVI,spearman,completa,305128,0.08464749812133435,0.0
atitlan,2026-04-13,CYA~NDVI,pearson,submuestra,12210,0.03701087334288426,4.3018007372644975e-05
atitlan,2026-04-13,CYA~NDVI,pearson_log10,submuestra,12210,0.24690692354256893,5.256267077222373e-169
atitlan,2026-04-13,CYA~NDVI,spearman,submuestra,12210,0.08492293587730913,5.460906412391339e-21
atitlan,2026-04-13,CYA~NDWI,pearson,completa,305128,-0.06081212073646741,7.837946977032138e-248
atitlan,2026-04-13,CYA~NDWI,pearson_log10,completa,305128,-0.7934944232510539,0.0
atitlan,2026-04-13,CYA~NDWI,spearman,completa,305128,-0.8498671550945998,0.0
atitlan,2026-04-13,CYA~NDWI,pearson,submuestra,12210,-0.31344876394144255,1.6128983082308963e-276
atitlan,2026-04-13,CYA~NDWI,pearson_log10,submuestra,12210,-0.789930582807909,0.0
atitlan,2026-04-13,CYA~NDWI,spearman,submuestra,12210,-0.8481464122254071,0.0
atitlan,2026-04-28,CYA~NDVI,pearson,completa,306318,0.09150541703721532,0.0
atitlan,2026-04-28,CYA~NDVI,pearson_log10,completa,306318,0.39637204685623556,0.0
atitlan,2026-04-28,CYA~NDVI,spearman,completa,306318,0.41185295938712624,0.0
atitlan,2026-04-28,CYA~NDVI,pearson,submuestra,12267,0.08744986013820823,2.920575082293681e-22
atitlan,2026-04-28,CYA~NDVI,pearson_log10,submuestra,12267,0.3858804589767342,0.0
atitlan,2026-04-28,CYA~NDVI,spearman,submuestra,12267,0.40775908006595324,0.0
atitlan,2026-04-28,CYA~NDWI,pearson,completa,306318,-0.23318442928459793,0.0
atitlan,2026-04-28,CYA~NDWI,pearson_log10,completa,306318,-0.7536631708556407,0.0
atitlan,2026-04-28,CYA~NDWI,spearman,completa,306318,-0.77607889716956,0.0
atitlan,2026-04-28,CYA~NDWI,pearson,submuestra,12267,-0.22385072812292123,3.899115287495469e-139
atitlan,2026-04-28,CYA~NDWI,pearson_log10,submuestra,12267,-0.7451696248539055,0.0
atitlan,2026-04-28,CYA~NDWI,spearman,submuestra,12267,-0.7704067231610033,0.0
atitlan,2026-07-22,CYA~NDVI,pearson,completa,301570,0.025272834709057106,8.277404860387689e-44
atitlan,2026-07-22,CYA~NDVI,pearson_log10,completa,301570,0.2578103434425463,0.0
atitlan,2026-07-22,CYA~NDVI,spearman,completa,301570,0.2080748101159486,0.0
atitlan,2026-07-22,CYA~NDVI,pearson,submuestra,12077,0.08599788259400326,2.8707099097296564e-21
atitlan,2026-07-22,CYA~NDVI,pearson_log10,submuestra,12077,0.26440904197972975,2.5219335460873047e-192
atitlan,2026-07-22,CYA~NDVI,spearman,submuestra,12077,0.21228315444286625,4.241960201763796e-123
atitlan,2026-07-22,CYA~NDWI,pearson,completa,301570,-0.1027053506989225,0.0
atitlan,2026-07-22,CYA~NDWI,pearson_log10,completa,301570,-0.8725087288308802,0.0
atitlan,2026-07-22,CYA~NDWI,spearman,completa,301570,-0.865993447418705,0.0
atitlan,2026-07-22,CYA~NDWI,pearson,submuestra,12077,-0.32103056912080974,1.4497017139128608e-287
atitlan,2026-07-22,CYA~NDWI,pearson_log10,submuestra,12077,-0.873884879646532,0.0
atitlan,2026-07-22,CYA~NDWI,spearman,submuestra,12077,-0.8675836410643917,0.0
